date,category,vaccination,units
08-01-2023,18+ Age 1st Dose,"92,22,08,850",vaccination in absolute number
08-01-2023,18+ Age 24hr Vaccination,"2,654",vaccination in absolute number
08-01-2023,18+ Age 2nd Dose,"86,51,95,887",vaccination in absolute number
08-01-2023,15-18 Age 1st Dose,"6,21,37,443",vaccination in absolute number
08-01-2023,15-18 Age 2nd Dose,"5,36,95,655",vaccination in absolute number
07-01-2023,18+ Age 1st Dose,"92,22,06,196",vaccination in absolute number
07-01-2023,18+ Age 24hr Vaccination,"2,862",vaccination in absolute number
07-01-2023,18+ Age 2nd Dose,"86,51,88,202",vaccination in absolute number
07-01-2023,15-18 Age 1st Dose,"6,21,36,436",vaccination in absolute number
07-01-2023,15-18 Age 2nd Dose,"5,36,92,767",vaccination in absolute number
06-01-2023,18+ Age 1st Dose,"92,22,03,334",vaccination in absolute number
06-01-2023,18+ Age 24hr Vaccination,"2,787",vaccination in absolute number
06-01-2023,18+ Age 2nd Dose,"86,51,80,966",vaccination in absolute number
06-01-2023,15-18 Age 1st Dose,"6,21,35,495",vaccination in absolute number
06-01-2023,15-18 Age 2nd Dose,"5,36,90,090",vaccination in absolute number
05-01-2023,18+ Age 1st Dose,"92,22,00,547",vaccination in absolute number
05-01-2023,18+ Age 24hr Vaccination,"3,314",vaccination in absolute number
05-01-2023,18+ Age 2nd Dose,"86,51,73,998",vaccination in absolute number
05-01-2023,15-18 Age 1st Dose,"6,21,34,512",vaccination in absolute number
05-01-2023,15-18 Age 2nd Dose,"5,36,87,405",vaccination in absolute number
04-01-2023,18+ Age 1st Dose,"92,21,97,233",vaccination in absolute number
04-01-2023,18+ Age 24hr Vaccination,"2,697",vaccination in absolute number
04-01-2023,18+ Age 2nd Dose,"86,51,67,374",vaccination in absolute number
04-01-2023,15-18 Age 1st Dose,"6,21,33,855",vaccination in absolute number
04-01-2023,15-18 Age 2nd Dose,"5,36,84,681",vaccination in absolute number
03-01-2023,18+ Age 1st Dose,"92,21,94,536",vaccination in absolute number
